elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
438.4,1,3,5048,5048.0,5048.0,0.0,1.0,2524.0,53,46054477,0.5,1.7072,0.4256,5,0.5294,4822.5,3.36,3.91,15.8,1228.1
442.2,1,3,5050,5050.0,5050.0,0.0,1.0,2525.0,53,46054673,0.0,1.7091,0.4255,5,0.5294,4822.5,3.57,5.08,16.3,1230.4
445.8,1,3,5762,5762.0,5762.0,0.0,1.0,2881.0,55,46461041,1.0,1.6086,0.4346,5,0.6,5866.5,3.06,3.97,15.5,1230.4
449.5,1,3,7081,7081.0,7081.0,0.0,1.0,3540.5,55,47198924,1.0,1.4312,0.4491,5,0.5556,7780.0,28.89,33.48,16.4,1230.4
453.7,1,3,8024,8024.0,8024.0,0.0,1.0,4012.0,55,47752493,0.0,1.3262,0.4506,5,0.5556,8987.5,8.38,17.3,12.8,1230.4
457.8,1,3,10083,10083.0,10083.0,0.0,1.0,5041.5,55,48952795,0.0,1.1439,0.5016,5,0.7679,11554.5,3.9,4.97,12.2,1230.4
461.9,1,3,11024,11024.0,11024.0,0.0,1.0,5512.0,86,49520123,15.5,1.0996,0.5174,5,0.7742,12850.5,4.95,6.16,15.9,1230.4
465.9,1,3,12558,12558.0,12558.0,0.0,1.0,6279.0,86,50479068,0.0,1.0342,0.5124,5,0.7742,15012.0,51.17,94.35,16.3,1231.6
471.9,1,3,13845,13845.0,13845.0,0.0,1.0,6922.5,76,51296626,10.5,0.9854,0.5469,5,0.7571,16797.0,39.2,61.59,13.4,1231.6
475.5,1,3,14932,14932.0,14932.0,0.0,1.0,7466.0,76,52033967,0.0,0.9604,0.5404,5,0.7571,18274.5,57.39,150.59,14.3,1231.7
