elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
496.5,1,3,29875,29875.0,29875.0,0.0,1.0,14937.5,41,80059753,0.5,1.0461,0.7095,5,0.76,11887.0,20.91,40.15,16.0,1195.2
500.6,1,3,31661,31661.0,31661.0,0.0,1.0,15830.5,41,80849247,1.0,1.0877,0.7376,5,0.76,12398.5,4.49,5.63,15.1,1195.2
505.1,1,3,34084,34084.0,34084.0,0.0,1.0,17042.0,41,82539644,0.0,1.0703,0.7372,5,0.76,13478.5,4.04,4.46,15.2,1195.2
508.8,1,3,35416,35416.0,35416.0,0.0,1.0,17708.0,41,83400241,0.5,1.0569,0.7469,5,0.76,14093.0,42.48,58.27,14.5,1195.2
512.2,1,3,36615,36615.0,36615.0,0.0,1.0,18307.5,45,84114088,2.0,1.0375,0.7532,5,0.7857,14681.0,2.8,3.68,14.7,1195.2
516.0,1,3,37739,37739.0,37739.0,0.0,1.0,18869.5,45,84752645,0.0,1.0159,0.7699,5,0.7857,15243.0,11.93,15.92,17.6,1195.2
519.8,1,3,39151,39151.0,39151.0,0.0,1.0,19575.5,55,85562394,5.0,0.9902,0.7778,5,0.8421,15949.0,2.78,3.72,11.2,1195.2
523.2,1,3,39272,39272.0,39272.0,0.0,1.0,19636.0,55,85633674,0.5,0.9881,0.7929,5,0.8421,16009.0,33.2,36.28,16.0,1195.2
527.4,1,3,39272,39272.0,39272.0,0.0,1.0,19636.0,55,85633674,0.0,0.9881,0.8116,5,0.8421,16009.0,3.9,6.21,9.6,1195.3
531.4,1,3,38429,38429.0,38429.0,0.0,1.0,19214.5,54,84348835,0.0,0.8969,0.8327,4,0.8421,16009.5,4.61,5.73,10.8,1195.3
535.5,1,3,38429,38429.0,38429.0,0.0,1.0,19214.5,54,84348835,0.0,0.8969,0.8327,4,0.8421,16009.5,4.9,5.64,11.8,1195.3
539.5,0,0,38440,38440.0,38440.0,0.0,1.0,19220.0,56,84350166,0.0,0.8994,0.832,5,0.8421,16009.5,3.25,4.57,11.1,1195.3
543.6,0,0,38449,38449.0,38449.0,0.0,1.0,19224.5,58,84352139,0.0,0.9014,0.8314,6,0.8421,16009.5,4.32,5.12,10.8,1195.3
547.7,0,0,38451,38451.0,38451.0,0.0,1.0,19225.5,59,84352383,1.5,0.9015,0.8317,6,0.8421,16009.5,3.86,5.05,9.8,1195.3
551.7,0,0,32070,32070.0,32070.0,0.0,1.0,16035.0,10,23225495,0.0,0.1107,0.964,5,0.0,15836.5,3.7,5.05,8.9,1195.3
555.8,0,0,32378,32378.0,32378.0,0.0,1.0,16189.0,13,28651315,1.5,0.1801,0.9368,7,0.0,15836.5,6.58,7.93,7.9,1195.3
559.8,0,0,32657,32657.0,32657.0,0.0,1.0,16328.5,11,34154984,0.0,0.2384,0.9151,6,0.0,15836.5,3.6,3.93,8.4,1195.3
563.9,0,0,32905,32905.0,32905.0,0.0,1.0,16452.5,9,39385197,0.5,0.285,0.8949,5,0.0,15836.5,3.62,4.07,8.4,1195.3
568.0,0,0,33349,33349.0,33349.0,0.0,1.0,16674.5,8,47660060,0.0,0.3451,0.8711,5,0.0,15988.5,5.49,7.5,8.1,1195.3
572.0,0,0,33836,33836.0,33836.0,0.0,1.0,16918.0,12,57810135,1.5,0.4075,0.8445,5,0.0,16147.5,2.77,4.03,8.1,1195.3
576.1,0,0,2644,2644.0,2644.0,0.0,1.0,1322.0,9,49500919,0.0,1.8669,0.3772,4,0.5,1497.5,4.79,5.86,8.7,1195.3
580.1,0,0,3098,3098.0,3098.0,0.0,1.0,1549.0,9,58864327,0.0,1.896,0.3597,4,0.5,1673.0,4.13,5.12,7.6,1195.3
