step,elapsed_s,gt_label,attack_episode_id,raw_prob,attack_prob,binary_pred,is_tp,is_fp,is_tn,is_fn,cum_tp,cum_fp,cum_tn,cum_fn,rolling_precision,rolling_recall,rolling_f1
125,505.1,1,3,0.203554,0.193747,0,0,0,0,1,32,0,54,40,1.0,0.4444,0.6154
126,508.8,1,3,0.470965,0.469656,0,0,0,0,1,32,0,54,41,1.0,0.4384,0.6095
127,512.2,1,3,0.56958,0.572679,0,0,0,0,1,32,0,54,42,1.0,0.4324,0.6038
128,516.0,1,3,0.366628,0.360913,0,0,0,0,1,32,0,54,43,1.0,0.4267,0.5981
129,519.8,1,3,0.042869,0.037469,0,0,0,0,1,32,0,54,44,1.0,0.4211,0.5926
130,523.2,1,3,0.1778,0.167914,0,0,0,0,1,32,0,54,45,1.0,0.4156,0.5872
131,527.4,1,3,0.031952,0.027515,0,0,0,0,1,32,0,54,46,1.0,0.4103,0.5818
132,531.4,1,3,0.00487,0.003834,0,0,0,0,1,32,0,54,47,1.0,0.4051,0.5766
133,535.5,1,3,0.003202,0.002472,0,0,0,0,1,32,0,54,48,1.0,0.4,0.5714
134,539.5,0,0,0.005993,0.004764,0,0,0,1,0,32,0,55,48,1.0,0.4,0.5714
135,543.6,0,0,0.1262,0.116873,0,0,0,1,0,32,0,56,48,1.0,0.4,0.5714
136,547.7,0,0,0.10835,0.099491,0,0,0,1,0,32,0,57,48,1.0,0.4,0.5714
137,551.7,0,0,0.018045,0.01511,0,0,0,1,0,32,0,58,48,1.0,0.4,0.5714
138,555.8,0,0,0.021128,0.017827,0,0,0,1,0,32,0,59,48,1.0,0.4,0.5714
139,559.8,0,0,0.013704,0.011324,0,0,0,1,0,32,0,60,48,1.0,0.4,0.5714
140,563.9,0,0,0.005339,0.004221,0,0,0,1,0,32,0,61,48,1.0,0.4,0.5714
141,568.0,0,0,0.004536,0.003559,0,0,0,1,0,32,0,62,48,1.0,0.4,0.5714
142,572.0,0,0,0.004459,0.003496,0,0,0,1,0,32,0,63,48,1.0,0.4,0.5714
143,576.1,0,0,0.0016,0.001197,0,0,0,1,0,32,0,64,48,1.0,0.4,0.5714
144,580.1,0,0,0.002357,0.001794,0,0,0,1,0,32,0,65,48,1.0,0.4,0.5714
145,584.2,0,0,0.001918,0.001446,0,0,0,1,0,32,0,66,48,1.0,0.4,0.5714
146,588.2,0,0,0.001486,0.001108,0,0,0,1,0,32,0,67,48,1.0,0.4,0.5714
147,592.3,0,0,0.001526,0.001139,0,0,0,1,0,32,0,68,48,1.0,0.4,0.5714
148,596.4,0,0,0.002814,0.00216,0,0,0,1,0,32,0,69,48,1.0,0.4,0.5714
149,600.4,0,0,0.003363,0.002602,0,0,0,1,0,32,0,70,48,1.0,0.4,0.5714
